variant,category,command,format_ok,cmd_valid,aligned,latency_ms
A_current,Auth_Error,systemctl restart nginx,1,1,1,2228.9
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,957.7
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,689.0
A_current,Auth_Error,Error: no space left on device,1,0,0,960.7
B_system_first,Auth_Error,Error: no space left on device,1,0,0,1017.9
C_few_shot_2,Auth_Error,Error: nginx bind() failed,1,0,0,751.8
A_current,Auth_Error,systemctl restart nginx,1,1,1,836.0
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1019.1
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,732.8
A_current,Configuration_Error,systemctl restart nginx,1,1,1,933.2
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1149.4
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,827.9
A_current,Configuration_Error,apt-get update && sudo apt-get install -y python3-pip && pip3 install selenium,1,0,0,986.4
B_system_first,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo service selenium-server-start /etc/selenium/s,1,0,0,1175.4
C_few_shot_2,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo systemctl restart nginx,1,0,0,798.2
A_current,Configuration_Error,systemctl restart nginx,1,1,1,946.3
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1093.8
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,814.1
A_current,DB_Connection,ulimit -n 65536,1,1,0,1252.0
B_system_first,DB_Connection,ulimit -n 65536,1,1,0,1392.5
C_few_shot_2,DB_Connection,ERROR: empty,0,0,0,1162.2
A_current,DB_Connection,kill -9 $(pgrep -f nginx),1,1,0,785.0
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,857.4
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""while_loop"")",1,1,0,620.2
A_current,DB_Connection,ulimit -n 65536,1,1,0,878.5
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1114.9
C_few_shot_2,DB_Connection,service nginx restart,1,1,0,553.4
A_current,Disk_Full,docker build -t my-image .,1,0,0,1168.2
B_system_first,Disk_Full,docker stop $(docker ps -a -f status=exited -f name=nginx),1,0,0,1336.4
C_few_shot_2,Disk_Full,ERROR: empty,0,0,0,1006.2
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1082.8
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1240.3
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,902.2
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1086.1
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1275.3
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,915.9
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1093.1
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1280.7
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,933.9
A_current,Network_Timeout,* `sudo systemctl restart postgresql`,1,0,0,1171.5
B_system_first,Network_Timeout,systemctl restart nginx,1,1,0,1120.9
C_few_shot_2,Network_Timeout,ERROR: empty,0,0,0,986.5
A_current,Network_Timeout,fuser -k /usr/bin/nginx/tcp,1,0,0,694.0
B_system_first,Network_Timeout,fuser -k /usr/bin/nginx/tcp,1,0,0,869.2
C_few_shot_2,Network_Timeout,fuser -k /usr/bin/python /proc/1943/fd,1,0,0,659.4
A_current,Network_Timeout,docker pull python:3.9.0-alpine3.12,1,0,0,1224.7
B_system_first,Network_Timeout,docker pull python:3.9.0-alpine3.12,1,0,0,1429.6
C_few_shot_2,Network_Timeout,systemctl,1,1,0,1123.9
A_current,Out_Of_Memory,sudo,1,0,0,1308.5
B_system_first,Out_Of_Memory,systemctl restart nginx,1,1,0,1194.4
C_few_shot_2,Out_Of_Memory,systemctl restart nginx,1,1,0,839.5
A_current,Out_Of_Memory,systemctl restart nginx,1,1,0,953.6
B_system_first,Out_Of_Memory,systemctl restart nginx,1,1,0,1132.4
C_few_shot_2,Out_Of_Memory,systemctl restart nginx,1,1,0,801.1
A_current,Out_Of_Memory,fuser -k /usr/bin/nginx/tcp 0,1,0,0,769.3
B_system_first,Out_Of_Memory,fuser -k /usr/bin/nginx/tcp,1,0,0,1182.0
C_few_shot_2,Out_Of_Memory,fuser -k /usr/bin/nvidia-smi /usr/bin/gpucache /usr/bin/vulkan,1,0,0,790.3
A_current,Permission_Denied,systemctl restart nginx,1,1,0,868.8
B_system_first,Permission_Denied,systemctl restart nginx,1,1,0,1042.6
C_few_shot_2,Permission_Denied,systemctl restart nginx,1,1,0,719.3
A_current,Permission_Denied,systemctl restart nginx --log-level=debug,1,1,0,1060.3
B_system_first,Permission_Denied,systemctl restart nginx,1,1,0,1174.9
C_few_shot_2,Permission_Denied,systemctl restart nginx,1,1,0,743.4
A_current,Permission_Denied,systemctl restart nginx,1,1,0,852.1
B_system_first,Permission_Denied,systemctl restart nginx,1,1,0,1058.8
C_few_shot_2,Permission_Denied,systemctl restart nginx,1,1,0,734.1
A_current,Port_Conflict,systemctl restart nginx,1,1,1,1380.6
B_system_first,Port_Conflict,systemctl restart nginx,1,1,1,1575.4
C_few_shot_2,Port_Conflict,systemctl restart nginx,1,1,1,1255.3
A_current,Process_Crash,ERROR: empty,0,0,0,1165.4
B_system_first,Process_Crash,ERROR: empty,0,0,0,1313.0
C_few_shot_2,Process_Crash,ERROR: empty,0,0,0,993.5
A_current,Process_Crash,"kubectl get pods -o wide | grep ""Pod"" | awk '{print $1}' | xargs",1,0,0,1102.1
B_system_first,Process_Crash,"kubectl get pods -o wide | grep ""Pod"" | awk '{print $1}' | xargs",1,0,0,1270.9
C_few_shot_2,Process_Crash,systemctl restart nginx,1,1,1,735.1
A_current,Process_Crash,kubectl apply -f <patch_file>,1,0,0,1064.8
B_system_first,Process_Crash,kubectl apply -f <file_path>,1,0,0,1279.6
C_few_shot_2,Process_Crash,kubectl apply -f <path_to_your_patch_file>,1,0,0,952.5
