variant,category,command,format_ok,cmd_valid,aligned,latency_ms
A_current,Auth_Error,systemctl restart nginx,1,1,1,2957.0
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1266.0
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,911.1
A_current,Auth_Error,Error: no space left on device,1,0,0,1200.0
B_system_first,Auth_Error,Error: no space left on device,1,0,0,1367.0
C_few_shot_2,Auth_Error,Error: nginx bind() failed,1,0,0,992.2
A_current,Auth_Error,systemctl restart nginx,1,1,1,1083.1
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1322.6
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,1009.5
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1081.3
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1241.4
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,906.6
A_current,Configuration_Error,apt-get update && sudo apt-get install -y python3-pip && pip3 install selenium,1,0,0,1025.9
B_system_first,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo service selenium-server-start /etc/selenium/s,1,0,0,1279.4
C_few_shot_2,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo systemctl restart nginx,1,0,0,842.8
A_current,Configuration_Error,systemctl restart nginx,1,1,1,966.7
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1157.7
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,795.5
A_current,DB_Connection,ulimit -n 65536,1,1,0,1344.9
B_system_first,DB_Connection,ulimit -n 65536,1,1,0,1675.9
C_few_shot_2,DB_Connection,ERROR: empty,0,0,0,1270.8
A_current,DB_Connection,kill -9 $(pgrep -f nginx),1,1,0,880.3
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,976.1
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""while_loop"")",1,1,0,733.4
A_current,DB_Connection,ulimit -n 65536,1,1,0,966.1
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1203.4
C_few_shot_2,DB_Connection,service nginx restart,1,1,0,579.0
A_current,Disk_Full,docker build -t my-image .,1,0,0,1248.2
B_system_first,Disk_Full,docker stop $(docker ps -a -f status=exited -f name=nginx),1,0,0,1515.9
C_few_shot_2,Disk_Full,ERROR: empty,0,0,0,1114.0
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1184.4
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1392.3
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,975.7
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1115.7
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1325.7
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,939.3
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1167.8
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1336.8
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,977.3
A_current,Network_Timeout,* `sudo systemctl restart postgresql`,1,0,0,1243.0
B_system_first,Network_Timeout,systemctl restart nginx,1,1,0,1214.3
C_few_shot_2,Network_Timeout,ERROR: empty,0,0,0,1099.7
A_current,Network_Timeout,fuser -k /usr/bin/nginx/tcp,1,0,0,708.1
B_system_first,Network_Timeout,fuser -k /usr/bin/nginx/tcp,1,0,0,900.7
C_few_shot_2,Network_Timeout,fuser -k /usr/bin/python /proc/1943/fd,1,0,0,691.1
A_current,Network_Timeout,docker pull python:3.9.0-alpine3.12,1,0,0,1250.2
B_system_first,Network_Timeout,docker pull python:3.9.0-alpine3.12,1,0,0,1489.5
C_few_shot_2,Network_Timeout,systemctl,1,1,0,1173.3
A_current,Out_Of_Memory,sudo,1,0,0,1323.3
B_system_first,Out_Of_Memory,systemctl restart nginx,1,1,0,1202.3
C_few_shot_2,Out_Of_Memory,systemctl restart nginx,1,1,0,857.8
A_current,Out_Of_Memory,systemctl restart nginx,1,1,0,985.0
B_system_first,Out_Of_Memory,systemctl restart nginx,1,1,0,1165.0
C_few_shot_2,Out_Of_Memory,systemctl restart nginx,1,1,0,842.8
