dataset,line_no,line,resolution_source,action_type,error_category,l1_nearest_distance,confident_action,note
Apache_Apache_2k,1,[Sun Dec 04 04:47:44 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0686241388320923,False,
Apache_Apache_2k,8,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0781505107879639,False,
Apache_Apache_2k,9,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0781505107879639,False,
Apache_Apache_2k,10,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0781505107879639,False,
Apache_Apache_2k,16,[Sun Dec 04 04:51:55 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0851271152496338,False,
Apache_Apache_2k,24,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0854564905166626,False,
Apache_Apache_2k,25,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1126368045806885,False,
Apache_Apache_2k,26,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1126368045806885,False,
Apache_Apache_2k,32,[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1030442714691162,False,
Apache_Apache_2k,33,[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0827617645263672,False,
Apache_Apache_2k,39,[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1092464923858643,False,
Apache_Apache_2k,40,[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0766891241073608,False,
Apache_Apache_2k,45,[Sun Dec 04 04:53:54 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1021296977996826,False,
Apache_Apache_2k,54,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0818331241607666,False,
Apache_Apache_2k,55,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0818331241607666,False,
Apache_Apache_2k,56,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1030874252319336,False,
Apache_Apache_2k,57,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.1030874252319336,False,
Apache_Apache_2k,60,[Sun Dec 04 04:54:20 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0789438486099243,False,
Apache_Apache_2k,65,[Sun Dec 04 04:56:59 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.0744824409484863,False,
