variant,category,command,format_ok,cmd_valid,aligned,latency_ms
A_current,Auth_Error,systemctl restart nginx,1,1,1,3510.2
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1531.9
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,1122.7
A_current,Auth_Error,Error: no space left on device,1,0,0,1459.6
B_system_first,Auth_Error,Error: no space left on device,1,0,0,1730.5
C_few_shot_2,Auth_Error,Error: nginx bind() failed,1,0,0,1259.1
A_current,Auth_Error,systemctl restart nginx,1,1,1,1428.1
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1550.4
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,1087.3
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1270.1
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1539.7
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,1117.9
A_current,Configuration_Error,apt-get update && sudo apt-get install -y python3-pip && pip3 install selenium,1,0,0,1232.8
B_system_first,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo service selenium-server-start /etc/selenium/s,1,0,0,1546.2
C_few_shot_2,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo systemctl restart nginx,1,0,0,1177.7
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1491.0
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1467.4
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,985.7
A_current,DB_Connection,ulimit -n 65536,1,1,0,1629.3
B_system_first,DB_Connection,ulimit -n 65536,1,1,0,1826.8
C_few_shot_2,DB_Connection,ERROR: empty,0,0,0,1594.1
A_current,DB_Connection,kill -9 $(pgrep -f nginx),1,1,0,1315.5
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1268.0
C_few_shot_2,DB_Connection,"kill -9 $(pgrep -f ""while_loop"")",1,1,0,819.5
A_current,DB_Connection,ulimit -n 65536,1,1,0,1134.5
B_system_first,DB_Connection,systemctl restart nginx,1,1,1,1417.0
C_few_shot_2,DB_Connection,service nginx restart,1,1,0,708.4
A_current,Disk_Full,docker build -t my-image .,1,0,0,1829.7
B_system_first,Disk_Full,docker stop $(docker ps -a -f status=exited -f name=nginx),1,0,0,1889.5
C_few_shot_2,Disk_Full,ERROR: empty,0,0,0,1341.7
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1418.7
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1976.0
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,1638.5
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1618.5
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1900.2
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,1360.8
A_current,Memory_Leak,systemctl restart nginx,1,1,0,1646.8
B_system_first,Memory_Leak,systemctl restart nginx,1,1,0,1917.1
C_few_shot_2,Memory_Leak,systemctl restart nginx,1,1,0,1453.0
A_current,Network_Timeout,* `sudo systemctl restart postgresql`,1,0,0,1769.4
B_system_first,Network_Timeout,systemctl restart nginx,1,1,0,1625.7
C_few_shot_2,Network_Timeout,ERROR: empty,0,0,0,1448.0
A_current,Network_Timeout,fuser -k /usr/bin/nginx/tcp,1,0,0,974.8
B_system_first,Network_Timeout,fuser -k /usr/bin/nginx/tcp,1,0,0,1330.6
C_few_shot_2,Network_Timeout,fuser -k /usr/bin/python /proc/1943/fd,1,0,0,990.0
A_current,Network_Timeout,docker pull python:3.9.0-alpine3.12,1,0,0,1848.9
B_system_first,Network_Timeout,docker pull python:3.9.0-alpine3.12,1,0,0,2167.9
C_few_shot_2,Network_Timeout,systemctl,1,1,0,1792.9
A_current,Out_Of_Memory,sudo,1,0,0,2192.1
B_system_first,Out_Of_Memory,systemctl restart nginx,1,1,0,1926.5
C_few_shot_2,Out_Of_Memory,systemctl restart nginx,1,1,0,1478.3
A_current,Out_Of_Memory,systemctl restart nginx,1,1,0,1781.5
B_system_first,Out_Of_Memory,systemctl restart nginx,1,1,0,1890.6
C_few_shot_2,Out_Of_Memory,systemctl restart nginx,1,1,0,1325.4
A_current,Out_Of_Memory,fuser -k /usr/bin/nginx/tcp 0,1,0,0,1257.9
B_system_first,Out_Of_Memory,fuser -k /usr/bin/nginx/tcp,1,0,0,1808.6
C_few_shot_2,Out_Of_Memory,fuser -k /usr/bin/nvidia-smi /usr/bin/gpucache /usr/bin/vulkan,1,0,0,1263.2
A_current,Permission_Denied,systemctl restart nginx,1,1,0,1413.6
B_system_first,Permission_Denied,systemctl restart nginx,1,1,0,1755.9
C_few_shot_2,Permission_Denied,systemctl restart nginx,1,1,0,1153.4
A_current,Permission_Denied,systemctl restart nginx --log-level=debug,1,1,0,1728.2
B_system_first,Permission_Denied,systemctl restart nginx,1,1,0,1743.1
C_few_shot_2,Permission_Denied,systemctl restart nginx,1,1,0,1125.9
A_current,Permission_Denied,systemctl restart nginx,1,1,0,1279.8
B_system_first,Permission_Denied,systemctl restart nginx,1,1,0,1645.0
C_few_shot_2,Permission_Denied,systemctl restart nginx,1,1,0,1095.4
A_current,Port_Conflict,systemctl restart nginx,1,1,1,2174.5
B_system_first,Port_Conflict,systemctl restart nginx,1,1,1,2340.1
C_few_shot_2,Port_Conflict,systemctl restart nginx,1,1,1,1828.9
A_current,Process_Crash,ERROR: empty,0,0,0,3749.4
B_system_first,Process_Crash,ERROR: empty,0,0,0,3277.2
C_few_shot_2,Process_Crash,ERROR: empty,0,0,0,2644.6
A_current,Process_Crash,"kubectl get pods -o wide | grep ""Pod"" | awk '{print $1}' | xargs",1,0,0,1715.1
B_system_first,Process_Crash,"kubectl get pods -o wide | grep ""Pod"" | awk '{print $1}' | xargs",1,0,0,1726.8
C_few_shot_2,Process_Crash,systemctl restart nginx,1,1,1,1108.2
A_current,Process_Crash,kubectl apply -f <patch_file>,1,0,0,1437.4
B_system_first,Process_Crash,kubectl apply -f <file_path>,1,0,0,1620.0
