dataset,line_no,line,resolution_source,action_type,error_category,l1_nearest_distance,confident_action,note
Apache_Apache_2k,403,[Sun Dec 04 06:52:41 2005] [error] mod_jk child workerEnv in error state 9,L1_MISS,,,1.3352932929992676,False,
Apache_Apache_2k,84,[Sun Dec 04 04:59:38 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3204646110534668,False,
Apache_Apache_2k,949,[Sun Dec 04 20:21:36 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3111791610717773,False,
Apache_Apache_2k,849,[Sun Dec 04 19:41:21 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.300669550895691,False,
Apache_Apache_2k,793,[Sun Dec 04 17:43:12 2005] [error] mod_jk child workerEnv in error state 8,L1_MISS,,,1.3240630626678467,False,
Apache_Apache_2k,523,[Sun Dec 04 07:08:04 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.337404727935791,False,
Apache_Apache_2k,358,[Sun Dec 04 06:46:34 2005] [error] mod_jk child workerEnv in error state 8,L1_MISS,,,1.3263098001480103,False,
Apache_Apache_2k,1893,[Mon Dec 05 17:31:41 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3172044521447777,False,
Apache_Apache_2k,300,[Sun Dec 04 06:41:08 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3031587600708008,False,
Apache_Apache_2k,1465,[Mon Dec 05 10:43:41 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.331077218055725,False,
Apache_Apache_2k,112,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.338485822216931,False,
Apache_Apache_2k,108,[Sun Dec 04 05:04:04 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3018218239318569,False,
Apache_Apache_2k,318,[Sun Dec 04 06:42:58 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3161413669586182,False,
Apache_Apache_2k,771,[Sun Dec 04 17:34:57 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.314990758895874,False,
Apache_Apache_2k,817,[Sun Dec 04 19:32:34 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3232651948928833,False,
Apache_Apache_2k,1765,[Mon Dec 05 14:01:48 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3381730318069458,False,
Apache_Apache_2k,91,[Sun Dec 04 05:00:15 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3152263236528348,False,
Apache_Apache_2k,1942,[Mon Dec 05 18:20:53 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3189221696825333,False,
Apache_Apache_2k,701,[Sun Dec 04 17:05:48 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.311716004657997,False,
Apache_Apache_2k,1983,[Mon Dec 05 19:00:44 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3227048943010769,False,
Apache_Apache_2k,1450,[Mon Dec 05 10:38:04 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3202880688073342,False,
Apache_Apache_2k,784,[Sun Dec 04 17:43:08 2005] [error] jk2_init() Can't find child 1566 in scoreboard,L1_MISS,,,1.3583767414093018,False,
Apache_Apache_2k,1546,[Mon Dec 05 11:06:52 2005] [error] jk2_init() Can't find child 5621 in scoreboard,L1_MISS,,,1.3510209321975708,False,
Apache_Apache_2k,964,[Sun Dec 04 20:24:49 2005] [error] mod_jk child workerEnv in error state 8,L1_MISS,,,1.3146886825561523,False,
Apache_Apache_2k,25,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3352410793304443,False,
Apache_Apache_2k,583,[Sun Dec 04 11:11:07 2005] [error] [client 24.147.151.74] Directory index forbidden by rule: /var/www/html/,L1_MISS,,,1.3825453963822407,False,
Apache_Apache_2k,1976,[Mon Dec 05 18:56:04 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3183803988570348,False,
Apache_Apache_2k,1179,[Mon Dec 05 04:14:00 2005] [error] mod_jk child workerEnv in error state 9,L1_MISS,,,1.3533459901809692,False,
Apache_Apache_2k,1932,[Mon Dec 05 18:10:58 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3229380122292913,False,
Apache_Apache_2k,579,[Sun Dec 04 07:45:45 2005] [error] [client 63.13.186.196] Directory index forbidden by rule: /var/www/html/,L1_MISS,,,1.3705358272087356,False,
Apache_Apache_2k,762,[Sun Dec 04 17:31:12 2005] [error] mod_jk child workerEnv in error state 9,L1_MISS,,,1.3430286645889282,False,
Apache_Apache_2k,1172,[Mon Dec 05 04:14:00 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.317468683085694,False,
Apache_Apache_2k,1984,[Mon Dec 05 19:00:44 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3227048943010769,False,
Apache_Apache_2k,315,[Sun Dec 04 06:42:30 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3219118118286133,False,
Apache_Apache_2k,1323,[Mon Dec 05 07:52:02 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3357219696044922,False,
Apache_Apache_2k,341,[Sun Dec 04 06:45:57 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3289121389389038,False,
Apache_Apache_2k,1247,[Mon Dec 05 07:32:06 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3162385680081403,False,
Apache_Apache_2k,1203,[Mon Dec 05 05:15:33 2005] [error] mod_jk child workerEnv in error state 9,L1_MISS,,,1.3480494022369385,False,
Apache_Apache_2k,913,[Sun Dec 04 20:05:59 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3095896937808502,False,
Apache_Apache_2k,150,[Sun Dec 04 06:02:07 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.328754186630249,False,
Apache_Apache_2k,1578,[Mon Dec 05 12:55:49 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.331307104769728,False,
Apache_Apache_2k,1864,[Mon Dec 05 16:26:05 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3190168667636046,False,
Apache_Apache_2k,458,[Sun Dec 04 06:58:29 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.313338279724121,False,
Apache_Apache_2k,1317,[Mon Dec 05 07:51:23 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3263949392148122,False,
Apache_Apache_2k,277,[Sun Dec 04 06:22:55 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.324944019317627,False,
Apache_Apache_2k,1031,[Sun Dec 04 20:47:16 2005] [error] jk2_init() Can't find child 2082 in scoreboard,L1_MISS,,,1.339798927307129,False,
Apache_Apache_2k,1253,[Mon Dec 05 07:32:06 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3162385680081403,False,
Apache_Apache_2k,677,[Sun Dec 04 16:56:27 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3112365007400513,False,
Apache_Apache_2k,239,[Sun Dec 04 06:18:55 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3249893188476562,False,
Apache_Apache_2k,154,[Sun Dec 04 06:02:07 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3091074578043593,False,
Apache_Apache_2k,803,[Sun Dec 04 17:43:12 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3217753171920776,False,
Apache_Apache_2k,1014,[Sun Dec 04 20:37:49 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3086302280426025,False,
Apache_Apache_2k,278,[Sun Dec 04 06:22:55 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.324944019317627,False,
